String	Airline	Airline name	Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Airline category	Pair	Ground time	Pair class
F3N2040_1D	F3		cat1		A320	J		07:30:00		7	D	2040	F3	F3N2040_1A	0	standard_turn
OTHN2040_1D	OTH		cat2		B737	J		07:30:00		7	D	2040	OTH	OTHN2040_1A	0	standard_turn
SWN2040_1D	SW		cat2		B737	J		07:30:00		7	D	2040	SW	SWN2040_1A	0	standard_turn
XYN2040_1D	XY		cat2		B737	J		07:30:00		7	D	2040	XY	XYN2040_1A	0	standard_turn
F3N2040_2D	F3		cat2		A320	J		07:37:00		7	D	2040	F3	F3N2040_2A	0	standard_turn
F3N2040_3D	F3		cat3		A320	J		07:44:00		7	D	2040	F3	F3N2040_3A	0	standard_turn
F3N2040_4D	F3		cat3		A320	J		07:51:00		7	D	2040	F3	F3N2040_4A	0	standard_turn
F3N2040_6D	F3		cat1		A321	J		08:05:00		8	D	2040	F3	F3N2040_7A	0	standard_turn
F3N2040_7D	F3		cat1		A321	J		08:12:00		8	D	2040	F3	F3N2040_8A	0	standard_turn
F3N2040_8D	F3		cat1		A321	J		08:19:00		8	D	2040	F3	F3N2040_9A	0	standard_turn
3LN2040_2D	3L		cat2		B737	J		08:37:00		8	D	2040	3L	3LN2040_2A	0	standard_turn
5WN2040_2D	5W		cat2		B737	J		08:37:00		8	D	2040	5W	5WN2040_2A	0	standard_turn
OTHN2040_2D	OTH		cat2		B737	J		08:37:00		8	D	2040	OTH	OTHN2040_2A	0	standard_turn
SWN2040_2D	SW		cat2		B737	J		08:37:00		8	D	2040	SW	SWN2040_2A	0	standard_turn
XYN2040_2D	XY		cat2		B737	J		08:37:00		8	D	2040	XY	XYN2040_2A	0	standard_turn
F3N2040_5D	F3		cat1		A321	J		08:58:00		8	D	2040	F3	F3N2040_5A	0	standard_turn
F3N2040_9D	F3		cat1		A321	J		09:26:00		9	D	2040	F3	F3N2040_6A	0	standard_turn
F3N2040_10D	F3		cat1		A350	J		09:33:00		9	D	2040	F3	F3N2040_10A	0	standard_turn
F3N2040_11D	F3		cat1		A350	J		10:40:00		10	D	2040	F3	F3N2040_11A	0	standard_turn
F3N2040_12D	F3		cat1		A350	J		13:47:00		13	D	2040	F3	F3N2040_12A	0	standard_turn
F3N2040_13D	F3		cat5		A350	J		14:54:00		14	D	2040	F3	F3N2040_13A	0	standard_turn
F3N2040_14D	F3		cat6		A350	J		15:01:00		15	D	2040	F3	F3N2040_15A	0	standard_turn
F3N2040_15D	F3		cat7		A350	J		17:08:00		17	D	2040	F3	F3N2040_14A	0	standard_turn
F3N2040_16D	F3		cat1		B737	J		17:15:00		17	D	2040	F3	F3N2040_16A	0	standard_turn
F3N2040_17D	F3		cat1		B737	J		17:22:00		17	D	2040	F3	F3N2040_17A	0	standard_turn
F3N2040_18D	F3		cat1		B757	J		17:29:00		17	D	2040	F3	F3N2040_19A	0	standard_turn
F3N2040_19D	F3		cat1		B757	J		18:36:00		18	D	2040	F3	F3N2040_18A	0	standard_turn
F3N2040_20D	F3		cat1		B787	J		18:43:00		18	D	2040	F3	F3N2040_20A	0	standard_turn
F3N2040_21D	F3		cat1		B787	J		18:50:00		18	D	2040	F3	F3N2040_21A	0	standard_turn
F3N2040_22D	F3		cat1		B787	J		18:57:00		18	D	2040	F3	F3N2040_22A	0	standard_turn
F3N2040_23D	F3		cat1		B787	J		19:04:00		19	D	2040	F3	F3N2040_23A	0	standard_turn
F3N2040_24D	F3		cat1		E190	J		19:11:00		19	D	2040	F3	F3N2040_24A	0	standard_turn
