sheet	section	measure	row	split	year	value
Base	Stands - by Stand Code - Commercial	Overnight Peak	B		2025	1
Base	Stands - by Stand Code - Commercial	Overnight Peak	B		2030	2
Base	Stands - by Stand Code - Commercial	Overnight Peak	B		2035	2
Base	Stands - by Stand Code - Commercial	Overnight Peak	B		2040	2
Base	Stands - by Stand Code - Commercial	Overnight Peak	B		2045	2
Base	Stands - by Stand Code - Commercial	Overnight Peak	A		2025	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	A		2030	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	A		2035	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	A		2040	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	A		2045	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	Total		2025	19
Base	Stands - by Stand Code - Commercial	Overnight Peak	Total		2030	23
Base	Stands - by Stand Code - Commercial	Overnight Peak	Total		2035	26
Base	Stands - by Stand Code - Commercial	Overnight Peak	Total		2040	28
Base	Stands - by Stand Code - Commercial	Overnight Peak	Total		2045	30
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2025	2
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2030	2
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2035	2
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2040	2
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2045	2
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2025	2
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2030	0
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2035	0
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2040	0
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2045	0
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2025	22
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2030	25
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2035	28
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2040	30
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2045	31
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2025	3
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2030	4
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2035	4
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2040	4
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2045	4
Base	Stands - by Stand Code - Commercial	Individual Peak	A		2025	1
Base	Stands - by Stand Code - Commercial	Individual Peak	A		2030	2
