sheet	section	measure	row	split	year	value
Base	Stands - by Stand Code - Overall	Individual Peak	B		2030	11.1
Base	Stands - by Stand Code - Overall	Individual Peak	C		2030	26.7
Base	Stands - by Stand Code - Overall	Individual Peak	D		2030	2.4
Base	Stands - by Stand Code - Overall	Individual Peak	E		2030	2.6
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	B		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	C		2030	11.5
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	D		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	E		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	Total		2030	11.5
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2030	9.4
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	E		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2030	9.4
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2030	11.5
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2030	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2030	16.1
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2030	16.1
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2030	16.1
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2030	16.1
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2030	1.4
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2030	16.1
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2030	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2030	1.4
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	A		2030	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	B		2030	0.0
